Plant Abbr,Month,Day,Year,PMMoV_gc_g_dry_weight,PMMoV_gc_g_dry_weight_UCI,PMMoV_gc_g_dry_weight_LCI,BCoV_Recovery,BCoV_Recovery_UCI,BCoV_Recovery_LCI,N_Gene_gc_g_dry_weight,N_Gene_gc_g_dry_weight_UCI,N_Gene_gc_g_dry_weight_LCI,S_Gene_gc_g_dry_weight,S_Gene_gc_g_dry_weight_UCI,S_Gene_gc_g_dry_weight_LCI,ORF1a_gc_g_dry_weight,ORF1a_gc_g_dry_weight_UCI,ORF1a_gc_g_dry_weight_LCI,HV_6970_Del_gc_g_dry_weight,HV_6970_Del_gc_g_dry_weight_UCI,HV_6970_Del_gc_g_dry_weight_LCI,Delta_156157_gc_g_dry_weight,Delta_156157_gc_g_dry_weight_UCI,Delta_156157_gc_g_dry_weight_LCI,Del_143145_gc_g_dry_weight,Del_143145_gc_g_dry_weight_UCI,Del_143145_gc_g_dry_weight_LCI,Influenza_A_gc_g_dry_weight,Influenza_A_gc_g_dry_weight_UCI,Influenza_A_gc_g_dry_weight_LCI,Influenza_B_gc_g_dry_weight,Influenza_B_gc_g_dry_weight_UCI,Influenza_B_gc_g_dry_weight_LCI,RSV_gc_g_dry_weight,RSV_gc_g_dry_weight_UCI,RSV_gc_g_dry_weight_LCI,BA_2_LPPA24S_gc_g_dry_weight,BA_2_LPPA24S_gc_g_dry_weight_UCI,BA_2_LPPA24S_gc_g_dry_weight_LCI,BA_2_75_S_147E_S_152R_gc_g_dry_weight,BA_2_75_S_147E_S_152R_gc_g_dry_weight_UCI,BA_2_75_S_147E_S_152R_gc_g_dry_weight_LCI,BA_4_ORF1a_Del_141143_gc_g_dry_weight,BA_4_ORF1a_Del_141143_gc_g_dry_weight_UCI,BA_4_ORF1a_Del_141143_gc_g_dry_weight_LCI,HMPV_4_gc_g_dry_weight,HMPV_4_gc_g_dry_weight_UCI,HMPV_4_gc_g_dry_weight_LCI,MPXV_G2R_G_gc_g_dry_weight,MPXV_G2R_G_gc_g_dry_weight_UCI,MPXV_G2R_G_gc_g_dry_weight_LCI,MPXV_G2R_WA_gc_g_dry_weight,MPXV_G2R_WA_gc_g_dry_weight_UCI,MPXV_G2R_WA_gc_g_dry_weight_LCI,Noro_G2_gc_g_dry_weight,Noro_G2_gc_g_dry_weight_UCI,Noro_G2_gc_g_dry_weight_LCI
SJ,11,15,2020,629350635.6,677577039.6,612522343.2,0.226,0.257,0.205,8976.867108,11651.24503,4541.531052,62873.6958,73264.36284,46780.42728,43482.71304,53611.68312,29142.68316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,11,16,2020,296432869.2,355534512,261365941.2,0.233,0.267,0.194,15708.51,19716.54096,12383.14056,22849.90092,28081.00188,17891.16396,21897.67416,26863.9506,16407.40164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SJ,11,16,2020,1047262291,1118833391,1018422233,0.279,0.293,0.262,121516.476,128478.3528,113764.1618,172294.6776,185154.468,159936.1728,180184.4628,190281.0624,169384.5804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSP,11,16,2020,1204669189,1241286360,1165958296,0.798,0.844,0.749,21737.83666,25445.70253,18409.38557,22309.9419,26063.5955,18935.70736,16589.01998,19855.05791,13702.92618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,11,17,2020,419980916.4,460069410,401919470.4,0.375,0.405,0.344,18030.96384,20911.76004,15427.91232,22224.91404,25406.61876,18114.76608,22224.91404,25406.61876,18884.54616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sac,11,17,2020,264597020,274824944.5,255537112.9,0.693,0.751,0.632,44884.21518,49959.65339,39104.90754,47216.87504,51186.7804,42444.35573,34096.95866,38650.42187,29648.58128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SJ,11,17,2020,934537639.2,992070748.8,915949698,0.33,0.343,0.317,86946.82068,93132.38772,80627.76288,149808.588,166113.0204,134645.3136,139683.654,154389.0516,124853.3112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,11,18,2020,355587560.4,443222042.4,317867056.8,0.432,0.507,0.358,19111.38792,23161.53348,15829.33368,25482.91404,29939.00412,21216.85152,18656.30064,23878.31976,14413.30992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SJ,11,18,2020,763306269.6,1314431467,737600227.2,0.243,0.261,0.221,52854.76008,58720.67808,46296.61944,73359.18768,82448.33652,64336.80084,51369.2784,55948.90452,45107.955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,11,19,2020,455191228.8,480701230.8,431045128.8,0.713,0.751,0.667,23979.96012,28188.29796,19781.01012,42634.52472,52396.4622,33740.8644,21981.43728,26021.154,17778.48624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
